time, block_id, block_x, block_y, block_width, block_height
2021-07-21 13:46:07.386376, 1, 161, 121,  22,   6
2021-07-21 13:46:07.396812, 1, 161, 121,  22,   6
2021-07-21 13:46:07.415084, 1, 161, 121,  22,   6
2021-07-21 13:46:07.619510, 1, 162, 112,  36,  19
2021-07-21 13:46:07.637815, 1, 160, 113,  32,  26
2021-07-21 13:46:07.654082, 1, 162, 111,  36,  18
2021-07-21 13:46:07.686937, 1, 158, 118,  28,  15
2021-07-21 13:46:07.706396, 1, 158, 118,  28,  15
2021-07-21 13:46:07.726490, 1, 158, 118,  28,  15
2021-07-21 13:46:08.236715, 1, 190, 111,  20,  23
2021-07-21 13:46:08.256424, 1, 188, 108,  28,  36
2021-07-21 13:46:08.269153, 1, 188, 112,  28,  34
2021-07-21 13:46:08.297005, 1, 190, 112,  28,  29
2021-07-21 13:46:08.314644, 1, 190, 116,  28,  26
2021-07-21 13:46:08.319972, 1, 189, 116,  30,  24
2021-07-21 13:46:08.336889, 1, 189, 117,  30,  21
2021-07-21 13:46:08.356937, 1, 193, 117,  22,  14
2021-07-21 13:46:08.368575, 1, 193, 115,  22,  18
2021-07-21 13:46:08.386883, 1, 194, 115,  20,  11
2021-07-21 13:46:08.408264, 1, 194, 115,  20,  13
2021-07-21 13:46:08.417299, 1, 195, 114,  18,  11
2021-07-21 13:46:08.436911, 1, 193, 118,  18,   8
2021-07-21 13:46:08.447730, 1, 196, 114,  24,  16
2021-07-21 13:46:08.466891, 1, 192, 118,  16,   6
2021-07-21 13:46:08.482933, 1, 192, 118,  20,   8
2021-07-21 13:46:08.506362, 1, 194, 112,  28,  17
2021-07-21 13:46:08.512697, 1, 195, 112,  26,  16
2021-07-21 13:46:08.536893, 1, 193, 112,  30,  17
2021-07-21 13:46:08.557957, 1, 192, 111,  28,  17
2021-07-21 13:46:08.568688, 1, 190, 112,  32,  19
2021-07-21 13:46:08.577690, 1, 187, 112,  34,  20
2021-07-21 13:46:08.595976, 1, 185, 114,  30,  16
2021-07-21 13:46:08.616914, 1, 190, 113,  32,  17
2021-07-21 13:46:08.634012, 1, 186, 114,  24,  14
2021-07-21 13:46:08.647977, 1, 189, 117,  14,   5
2021-07-21 13:46:08.658914, 1, 189, 117,  14,   5
2021-07-21 13:46:08.686386, 1, 189, 117,  14,   5
2021-07-21 13:46:08.886383, 1, 183, 112,  38,  23
2021-07-21 13:46:08.905399, 1, 182, 115,  36,  22
2021-07-21 13:46:08.918788, 1, 182, 116,  36,  24
2021-07-21 13:46:08.947016, 1, 181, 114,  38,  25
2021-07-21 13:46:08.964208, 1, 176, 117,  28,  20
2021-07-21 13:46:08.976369, 1, 178, 118,  28,  18
2021-07-21 13:46:08.986897, 1, 178, 116,  24,  20
2021-07-21 13:46:09.001949, 1, 181, 114,  34,  22
